15.10,10.50,32.70,21.90,14.00,5.80,Lithuania,LT,LTU
16.00,11.20,31.20,19.90,16.30,5.50,Finland,FI,FIN
22.40,14.10,39.10,17.60,5.30,1.50,Azerbaijan,AZ,AZE
15.40,9.60,37.60,20.60,12.50,4.30,Ukraine,UA,UKR
15.70,10.60,35.60,19.70,13.90,4.70,Romania,RO,ROU
15.90,12.30,31.80,20.90,14.60,4.60,Netherlands,NL,NLD
15.40,10.30,37.00,19.70,13.30,4.40,Poland,PL,POL
20.20,11.80,36.90,19.10,9.00,3.00,Armenia,AM,ARM
16.40,12.40,37.50,19.70,11.50,2.50,North Macedonia,MK,MKD
16.40,9.50,34.90,19.40,14.10,5.60,Estonia,EE,EST
,,,,,,San Marino,SM,SMR
14.40,10.90,34.00,21.70,13.80,5.00,Austria,AT,AUT
,,,,,,Russia,RU,RUS
13.90,10.60,39.40,22.50,10.20,3.40,Andorra,AD,AND
14.40,10.90,32.50,21.60,15.20,5.30,Croatia,HR,HRV
14.70,10.90,33.30,23.20,14.10,3.80,Liechtenstein,LI,LIE
15.90,9.10,36.70,18.80,15.50,4.10,Czechia,CZ,CZE
13.70,10.60,32.90,20.90,15.40,6.40,Portugal,PT,PRT
13.70,11.00,38.50,18.20,14.50,4.20,Malta,MT,MLT
16.90,9.90,36.60,21.30,11.30,3.90,Belarus,BY,BLR
,,,,,,Moldova,MD,MDA
13.60,10.40,31.60,22.80,15.10,6.50,Germany,DE,DEU
14.80,9.80,35.30,20.70,13.30,6.10,Spain,ES,ESP
18.00,13.00,34.20,19.80,11.90,3.30,Montenegro,ME,MNE
23.40,15.80,37.00,15.00,7.00,1.80,Turkey,TR,TUR
14.30,10.50,33.80,20.90,15.80,4.60,Serbia,RS,SRB
17.20,15.50,33.00,20.20,11.40,2.70,Albania,AL,ALB
,,,,,,France,FR,FRA
15.00,10.60,35.00,20.90,13.30,5.20,Switzerland,CH,CHE
13.20,9.80,32.40,21.90,15.70,7.20,Italy,IT,ITA
17.80,11.30,32.90,18.10,14.80,5.10,Sweden,SE,SWE
14.40,8.90,35.00,20.40,16.50,4.80,Bulgaria,BG,BGR
20.30,11.50,33.90,19.50,11.40,3.50,Georgia,GE,GEO
15.70,10.40,38.10,19.70,12.70,3.30,Slovakia,SK,SVK
17.90,11.80,32.80,19.10,13.40,5.00,United Kingdom,UK,GBR
15.90,9.20,33.80,20.90,14.70,5.60,Latvia,LV,LVA
14.50,10.70,35.80,19.60,14.90,4.40,Hungary,HU,HUN
16.10,12.80,37.10,17.90,12.50,3.70,Cyprus,CY,CYP
15.10,9.40,34.10,21.60,14.50,5.30,Slovenia,SI,SVN
,,,,,,Ireland,IE,IRL
14.30,10.20,33.10,20.30,14.90,7.10,Greece,EL,GRC
16.90,11.40,32.70,20.10,13.30,5.60,Belgium,BE,BEL
17.50,12.40,34.10,18.70,13.00,4.20,Norway,NO,NOR
16.10,11.60,38.20,19.80,10.40,4.00,Luxembourg,LU,LUX
19.00,13.40,35.50,17.90,10.70,3.50,Iceland,IS,ISL
16.50,12.60,31.70,19.60,15.00,4.50,Denmark,DK,DNK
